가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
진안 흑돼지 깜도야 정육점,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 403-50,식육,정육,,2025-01-28
고원약초,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 16호,,"소매(홍삼, 수삼, 약초)",인삼,,2025-01-28
국태가든,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 25,,음식(한식),음식,,2025-01-28
동아지업사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1103-1,,"소매(벽지,장판,농자재)","도배,장판",,2025-01-28
마이누룽지,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 우화산길 7-5,,누룽지,누룽지,,2025-01-28
백제회관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 144,,음식(한식),음식,,2025-01-28
우래한우,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 136,,음식(한식),음식,,2025-01-28
종합인삼사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 8호,,"소매(인삼, 홍삼, 더덕)",인삼,,2025-01-28
진안농산,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 우화3길 7,,도소매업(농산물),농산물,,2025-01-28
홍삼가,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1166번지 홍삼한방센타 18호,,"소매(건강식품, 인삼)",인삼,,2025-01-28
회 천국,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 81-4,,음식(일본음식),회,,2025-01-28
터미널 청과,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1117-2,,"과일,마트",마트,,2025-01-28
국태슈퍼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 17,,"소매(식료잡화,담배,기념품)",마트,,2025-01-28
농업회사법인 진안마을 주식회사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 154,,도소매(로컬푸드),음식,,2025-01-28
마이산 자연밥상,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 146,,"음식(한식),숙박업",음식,,2025-01-28
진안 생선,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군  진안읍 군상리 480-1,소매(생선),생선,,2025-01-28
진안마을 한정식,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 35,,음식점(한식),음식,,2025-01-28
농산그린마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장2길 10,,"소매(식품,잡화)",마트,,2025-01-28
롯데리아 진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1093,,음식(햄버거),햄버거,,2025-01-28
무진장계란,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 대성길 14,,계란,계란,,2025-01-28
부티크제이,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 9-2,,소매(잡화),의류,,2025-01-28
세림가구점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장길 72,,"가구, 전자제품",가구,,2025-01-28
세계로약국,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 87,,소매(양약),약,,2025-01-28
아리따움 전북 진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1099-1,,소매(화장품),화장품,,2025-01-28
엄지김밥,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1091-1,,음식(간이음식),분식,,2025-01-28
월랑회관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 89,,음식(한식),음식,,2025-01-28
종로약국,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1104,,소매(양약),약,,2025-01-28
진안 콩샌점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 97,,음식(휴게음식),카페,,2025-01-28
진안안경원,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1097,,소매(안경),안경,063-433-2705,2025-01-28
마이산 홍삼 족욕카페,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 130,,서비스 소매업,족욕,,2025-01-28
강산도영농조합법인,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 구룡길179,,홍삼가공,홍삼,,2025-01-28
마이산페밀리펜션,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 78,,숙박(민박),민박,,2025-01-28
크라운호프,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1092-1,,음식점,호프,,2025-01-28
흑돼지 한마리,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군하리 77,음식점,음식,,2025-01-28
고향마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 51-14,,도소매업,마트,,2025-01-28
공예촌카페예향,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 510-5,,일반음식점,카페,,2025-01-28
진안DC마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장2길 3,,도소매업,마트,,2025-01-28
BHC진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1115-1,,일반음식점,치킨,,2025-01-28
한국타이어진안대리점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 59,,도소매,카센터,,2025-01-28
썬앤문,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,일반음식점,카페,,2025-01-28
선미용실,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1115-2,,미용업,미용실,,2025-01-28
월랑정,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 학천변길 37-10,,일반음식점,음식,,2025-01-28
대용정육점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1122,,소매업(식육),정육,,2025-01-28
다정식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 48,,일반음식점,음식,,2025-01-28
귀자식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 7-4,,일반음식점,음식,,2025-01-28
정천인삼사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1021,,제조업,인삼,,2025-01-28
헤어리더미용실,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 10,,미용업,미용실,,2025-01-28
정은헤어,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 5,,미용업,미용실,,2025-01-28
헤어스타,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1104,,미용업,미용실,,2025-01-28
진안정,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 81-1,,일반음식점,음식,,2025-01-28
진안 맛있는 이야기,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 13,,일반음식점,분식,,2025-01-28
안나프루나,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1089,,음식(커피&빵),카페,,2025-01-28
까페 앤 까르보네,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 97,,휴게음식,카페,,2025-01-28
솔 무용학원,진안고원행복상품권,전북특별자치도,진안군,"전북특별자치도 진안군 진안읍 우화산길 11, 2층",,무용학원,학원,,2025-01-28
임실N치즈피자 진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 3,,음식(피자),피자,,2025-01-28
마이산LPG충전소,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 연장리 212-5,소매(차량용가스충전),주유소,,2025-01-28
동해루,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 관산2길 19-9,,일반음식점,중식,,2025-01-28
은혜회관,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군하리 275-3,일반음식점,음식,,2025-01-28
용마루,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 826-4,일반음식점,음식,,2025-01-28
우미촌,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1012,,일반음식점,음식,,2025-01-28
운장산칡냉면,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 26,,일반음식점,음식,,2025-01-28
푸드런피자치킨점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1092-1,,일반음식점,치킨,,2025-01-28
현민통닭,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 8-22,,일반음식점,치킨,,2025-01-28
초원정육점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 우화산길 16,,소매(식육),정육,,2025-01-28
군산해물음식나라,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 14,,일반음식점,음식,,2025-01-28
무안낙지,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1016,,일반음식점,치킨,,2025-01-28
텃마루,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 31,,일반음식점,음식,,2025-01-28
한우촌,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 대성길8,,일반음식점,음식,,2025-01-28
뚱딴지해장국,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 37,,일반음식점,음식,,2025-01-28
솔나무떡방앗간,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1095,,방앗간,떡,,2025-01-28
극동철물,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1196-3,,철물점,건축자재,,2025-01-28
소나무회관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1073,,일반음식점,음식,,2025-01-28
남도집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 44,,일반음식점,음식,,2025-01-28
진안관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 21,,일반음식점,음식,,2025-01-28
열린갈비,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 우화3길 6,,일반음식점,음식,,2025-01-28
이디야커피전북진안점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 우화산길 9,,휴게음식,카페,,2025-01-28
커피프렌즈다육,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 84,,음식점,카페,,2025-01-28
란화장품,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1105-2,,소매(화장품),화장품,,2025-01-28
은혜건강원,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 대성길 6,,음식,건강원,,2025-01-28
은혜이용원,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 대성길 6,,이용업,미용실,,2025-01-28
진남식자재마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 67,,도소매,마트,,2025-01-28
진안가스충전소,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 112,,소매업(가스),주유소,,2025-01-28
대성식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 19,,일반음식점,음식,,2025-01-28
모두랑치킨피자,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 20-1,,일반음식점,치킨,,2025-01-28
왕다리분식,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1092,,일반음식점,분식,,2025-01-28
제일인삼사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장길 82,,일반음식점,인삼,,2025-01-28
신포우리만두진안,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 14,,일반음식점,음식,,2025-01-28
폭풍장어(양평해장국),진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장길 22,,일반음식점,음식,,2025-01-28
나래화장품,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 5,,소매(화장품),화장품,,2025-01-28
노엘라헤어,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 77,,미용업,미용실,,2025-01-28
한일관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진장로 6,,일반음식점,음식,,2025-01-28
원연장마을영농조합법인,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 원연장1길 21-1,,일반음식점,음식,,2025-01-28
