가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
서울이용권,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 시장윗길 14,,,,,2025-01-20
안성돼지국밥,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 266 (1층),,,,,2025-01-20
무주반디공업사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 249-26,,,,,2025-01-20
덕유철물,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 964,,,,,2025-01-20
영진건업샤시,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 276,,,,,2025-01-20
전주공업사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 418,,,,,2025-01-20
들녘가든,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 진성로 2676,,,,,2025-01-20
무주농수산 장어마을,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 마산길 67-70,,,,,2025-01-20
무주시장(남공희),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
용포차,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 387-9  2층,,,,,2025-01-20
씨유무주장터점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 15,,,,,2025-01-20
살롱드’S,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 103,,,,,2025-01-20
어랑,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 92-10,,,,,2025-01-20
무주시장(임혜선),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
양지회센터,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 양지담길 2,,,,,2025-01-20
정치과,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 당산강변로 208,,,,,2025-01-20
굿모닝보청기,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 한풍루로 351  1층,,,,,2025-01-20
무주시장(김재오),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
분식 앤 깻잎두마리치킨,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 105  1층,,,,,2025-01-20
오감족발,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 67-1  1층,,,,,2025-01-20
풍년식당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 고도2길 33-3  1층,,,,,2025-01-20
무주반딧불시장상인협동조합,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2  1호,,,,,2025-01-20
손톱치레,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 105  1층,,,,,2025-01-20
나리식당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 현내로 207  1층,,,,,2025-01-20
산여울,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동1로 143,,,,,2025-01-20
하늘녘싱싱팜,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 내북길 208-3,,,,,2025-01-20
소희학원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1577  2층,,,,,2025-01-20
무주수목원캠핑장&글램핑,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1092-34,,,,,2025-01-20
무주군반딧불블루베리 영농조합법인,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 치마재로 101,,,,,2025-01-20
hs한솔씽크,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 괴목로 1387,,,,,2025-01-20
참솔산업㈜,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 무설로 53,,,,,2025-01-20
전통질그릇(무주시장),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
앞섬상회,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 내도리1길 3,,,,,2025-01-20
무주시장(오순덕),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
드림 씨앤티,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 적상산로 29,,,,,2025-01-20
선연건설,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 283,,,,,2025-01-20
단곰카페,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 266  1층,,,,,2025-01-20
(유) 청솔산업,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 진성로 2502-41,,,,,2025-01-20
평지기름집,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 삼도봉로 17,,,,,2025-01-20
반딧불카센타,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1552,,,,,2025-01-20
장터곱창,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 48,,,,,2025-01-20
도원식당,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1271  1층,,,,,2025-01-20
신풍농약사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1580,,,,,2025-01-20
무주시장(오옥자),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
사과하니,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 오무실로 139-4,,,,,2025-01-20
참 한삼,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 47  1층,,,,,2025-01-20
무주시장(신명자),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
제일동물병원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 안성면 안성로 296,,,,,2025-01-20
