"가맹점명",사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
"반찬나라",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산2길 21,,,,,2023-07-10
"못난이아구찜.탕",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 남정6길 38,,,,,2023-07-10
"한국농자재",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 보릿골로 103,,,,,2023-07-10
"대성양봉건강원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 38-2,,,,,2023-07-10
"육도깨비",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 161,,,,,2023-07-10
"유강균 교정운동원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 215,,,,,2023-07-10
"청년다방 전북고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 232,,,,,2023-07-10
"시장정육점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 시장안길 25-1,,,,,2023-07-10
"프로스펙스",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 173,,,,,2023-07-10
"하누도니",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡6길 63,,,,,2023-07-10
"유한회사  금당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 신상길 58-37,,,,,2023-07-10
"제일식당",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 191,,,,,2023-07-10
"던킨도너츠전북고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중앙로 238,,,,,2023-07-10
"더리터 고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산2길 50,,,,,2023-07-10
"쉼영농조합법인",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 당촌길 75,,,,,2023-07-10
"얼굴선 햅번스타일 고창점",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 월곡공원2길 12,,,,,2023-07-10
"꽃나라화원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 141,,,,,2023-07-10
"머리하는날",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 동리로 78-1,,,,,2023-07-10
"주식회사 대한",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 중거리당산로 171,,,,,2023-07-10
"들꽃화원",고창지역사랑상품권,전라북도,고창군,전라북도 고창군 고창읍 성산로 31,,,,,2023-07-10
