가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
북부건설천막,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 994 (신동),,기타,,,2025-06-10
아이센스리그PC방 익산영등점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로32길 46-1 3층,,문화/체육,,,2025-06-10
커버낫,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 1068 1층 커버낫,,의류/잡화,,,2025-06-10
맘스터치피자 익산동산점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 평동로21길 3 1층맘스터치,,음식점/식음료업,,,2025-06-10
익산영일논전문학원,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로43길 29 2층5,,입시/교습학원,,,2025-06-10
(주)태산도장건설,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 삼기북길 113, D동 1층 (서두리,TY라이팅(주))",,건축/철물,,,2025-06-10
한일노래연습장,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 서동로 119-1 (마동),,문화/체육,,,2025-06-10
김남규의조선옥꽃게장,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 341 조선옥 한식당,,음식점/식음료업,,,2025-06-10
태영실업,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 석암로 256 (석암동),,생활/리빙,,,2025-06-10
스마일정육식당,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로41길 34 101호,,음식점/식음료업,,,2025-06-10
방구대장 문구점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로1길 109-36 1층 102호 방구대장,,생활/리빙,,,2025-06-10
마빡이와대빡이헤어,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 133 마빡이와대빡이헤어,,생활/리빙,,,2025-06-10
대원축산,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 번영로1길 20 대원축산,,식자재/유통,,,2025-06-10
(유)서울마트,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 배산로3길 24-7 서울도기,,생활/리빙,,,2025-06-10
(유) 원일금속,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로2길 110 (목천동),,식자재/유통,,,2025-06-10
(유)글로리궁궁웨딩컨벤션,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 1024-17 궁웨딩컨벤션,,생활/리빙,,,2025-06-10
모현동참숯집,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화로13길 67, 1층 (모현동1가)",,음식점/식음료업,,,2025-06-10
SH인터내셔날F&B,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 중앙로29길 7-11, 마동 (마동,제일섬유공업(주))",,식자재/유통,,,2025-06-10
올가드림뷰티,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로 465 1층 상가,,생활/리빙,,,2025-06-10
어썸웰스파,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 중앙로 125-23 1층 어썸웰스파,,생활/리빙,,,2025-06-10
백년한의원,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로14길 30 2층,,보건/복지,,,2025-06-10
로얄자카르타동부시장점,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 고봉로 167, 1층 (영등동)",,음식점/식음료업,,,2025-06-10
(주)유쎌,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로78길 265 (다송리),,식자재/유통,,,2025-06-10
크린토피아 어양주공 9차점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 궁동로 129 전북익산시궁동로129 주공9차상가크린토피아,,생활/리빙,,,2025-06-10
보다주얼리,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로63길 24-5 (영등동),,귀금속,,,2025-06-10
세븐일레븐 익산으뜸모현점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고현로14길 12-1 1층 세븐일레븐,,식자재/유통,,,2025-06-10
용기네 포차,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로 336-2 (마동),,음식점/식음료업,,,2025-06-10
향수식당,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 인북로9길 12 (남중동),,음식점/식음료업,,,2025-06-10
남양전기조명,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 인북로 46 인화동1가 72-64 남양전기조명,,건축/철물,,,2025-06-10
제일탑내과,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로 434 3층 제일탑내과,,보건/복지,,,2025-06-10
목밀,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화로33길 92, 1층 (남중동)",,음식점/식음료업,,,2025-06-10
(주)청지기,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 인북로 158 (남중동),,기타,,,2025-06-10
금은당,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 인북로10길 17 금은당,,귀금속,,,2025-06-10
마리에한복,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로 514 1층 101호,,의류/잡화,,,2025-06-10
다영 Eco system,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로8길 21-1, 1층 (신동)",,건축/철물,,,2025-06-10
농업회사법인(유)백석라이스,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 용지길 66-4 (다송리),,식자재/유통,,,2025-06-10
(유)스테이너와,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로 1157, 2층 202호 (어양동,백두산한의원)",,여행/숙박,,,2025-06-10
비무관합기도 동산수련관,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 서동로4길 15, 2층 (동산동)",,기술/기능 교육,,,2025-06-10
정다운식품(방앗간),익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 인북로9길 14-4, 101호 (남중동,여산야채청과)",,식자재/유통,,,2025-06-10
익산개발,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 1610 (덕기동),,건축/철물,,,2025-06-10
스포츠매니저,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 228 2층,,문화/체육,,,2025-06-10
